"date_time","ip","port","command","mime_type","file_size","reply_code","reply_msg"
"2020-09-14T08:50:28","190.220.63.217","4976","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/werkzeug/contrib/.ftpd3caYxQ: Operation not permitted"
"2020-09-14T09:16:02","203.243.37.100","3966","PASV","-","-","227","Entering Passive Mode"
"2020-09-14T11:57:26","203.243.37.100","4379","STOR","-","-","550","/dept/qdept/static/css/blueprint/plugins/fancy-type/.ftpduBnga4: Operation not permitted"
"2020-09-14T12:24:00","159.133.249.32","4970","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/wtforms/ext/django/templatetags/.ftpde854Us: Operation not permitted"
"2020-09-14T12:46:16","68.92.208.49","3966","PASV","-","-","227","Entering Passive Mode"
"2020-09-14T13:32:19","190.220.63.217","4976","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/wtforms/ext/i18n/.ftpd3caYxQ: Operation not permitted"
"2020-09-14T14:32:49","190.220.63.217","4295","PASV","-","-","227","Entering Passive Mode"
"2020-09-14T14:36:52","68.92.208.49","4295","PASV","-","-","227","Entering Passive Mode"
"2020-09-14T14:45:16","190.220.63.217","3966","PASV","-","-","227","Entering Passive Mode"
"2020-09-14T15:37:42","248.124.131.190","1100","PASV","-","-","227","Entering Passive Mode"
"2020-09-14T16:33:08","7.127.236.59","3885","PASV","-","-","227","Entering Passive Mode"
"2020-09-14T16:57:07","26.20.3.26","1100","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/werkzeug/testsuite/multipart/webkit3-2png1txt/.ftpdBUL2Da: Operation not permitted"
"2020-09-14T17:56:02","147.126.156.230","4295","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/flask/testsuite/templates/.ftpdA4LXaq: Operation not permitted"
"2020-09-14T17:59:19","222.17.93.246","3885","STOR","-","-","550","/dept/env/lib/python2.7/site-packages/anyjson/.ftpdNzu8bx: Operation not permitted"
"2020-09-14T18:22:33","110.218.211.136","1124","APPE","-","-","-","-"
"2020-09-14T18:28:36","203.243.37.100","4976","DELE","-","-","550","/dept/qdept/static/css/.ftpd3caYxQ: Operation not permitted"
"2020-09-14T18:47:12","248.124.131.190","3885","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/werkzeug/testsuite/res/.ftpdNzu8bx: Operation not permitted"
"2020-09-14T19:20:25","68.92.208.49","3966","PASV","-","-","227","Entering Passive Mode"
"2020-09-14T19:41:04","167.107.132.164","4379","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/flask/testsuite/test_apps/blueprintapp/apps/admin/templates/.ftpduBnga4: Operation not permitted"
"2020-09-14T19:43:44","110.218.211.136","3966","STOR","-","-","550","/dept/env/lib/python2.7/site-packages/flask/testsuite/test_apps/blueprintapp/apps/.ftpdxCfA4y: Operation not permitted"
"2020-09-14T20:06:38","18.127.107.6","4970","DELE","-","-","550","/dept/env/local/.ftpde854Us: Operation not permitted"
"2020-09-14T20:20:56","140.143.94.151","3885","PASV","-","-","227","Entering Passive Mode"
"2020-09-14T20:36:52","156.147.173.87","3885","PASV","-","-","227","Entering Passive Mode"
"2020-09-14T20:54:45","86.82.198.124","4379","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/sqlalchemy/dialects/mssql/.ftpduBnga4: Operation not permitted"
"2020-09-14T21:02:00","7.127.236.59","4976","STOR","-","-","550","/dept/env/lib/python2.7/site-packages/amqplib/client_0_8/.ftpd3caYxQ: Operation not permitted"
"2020-09-14T22:05:44","18.127.107.6","4970","STOR","-","-","550","/dept/env/lib/python2.7/site-packages/sqlalchemy/dialects/informix/.ftpde854Us: Operation not permitted"
"2020-09-14T22:27:32","140.143.94.151","3966","PASV","-","-","227","Entering Passive Mode"
"2020-09-14T22:30:56","244.149.90.13","4970","PASV","-","-","227","Entering Passive Mode"
"2020-09-14T22:31:03","7.127.236.59","3966","PASV","-","-","227","Entering Passive Mode"
"2020-09-14T22:49:37","81.94.180.51","3885","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/kombu/transport/django/management/commands/.ftpdNzu8bx: Operation not permitted"
"2020-09-14T23:05:38","203.243.37.100","4970","PASV","-","-","227","Entering Passive Mode"
"2020-09-14T23:45:21","132.204.220.129","4976","PASV","-","-","227","Entering Passive Mode"
"2020-09-15T01:18:37","156.147.173.87","4295","PASV","-","-","227","Entering Passive Mode"
"2020-09-15T01:27:11","188.148.146.18","3966","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/flask/testsuite/test_apps/moduleapp/apps/admin/templates/.ftpdxCfA4y: Operation not permitted"
"2020-09-15T01:40:52","234.99.86.44","39226","PASV","-","-","227","Entering Passive Mode"
"2020-09-15T01:59:53","248.124.131.190","44516","PASV","-","-","227","Entering Passive Mode"
"2020-09-15T02:35:49","86.172.160.151","4970","PASV","-","-","227","Entering Passive Mode"
"2020-09-15T02:49:30","50.34.173.40","3885","PASV","text/plain","-","227","Entering Passive Mode"
"2020-09-15T02:50:04","10.138.129.55","4295","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/werkzeug/testsuite/multipart/firefox3-2pnglongtext/.ftpdA4LXaq: Operation not permitted"
"2020-09-15T03:50:53","68.92.208.49","4379","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/gunicorn/management/commands/.ftpduBnga4: Operation not permitted"
"2020-09-15T04:54:09","68.92.208.49","1100","STOR","-","-","550","/dept/env/lib/python2.7/site-packages/kombu/utils/.ftpdBUL2Da: Operation not permitted"
"2020-09-15T06:08:01","98.177.12.123","4970","PASV","-","-","227","Entering Passive Mode"
"2020-09-15T06:08:17","140.143.94.151","3885","PASV","-","-","227","Entering Passive Mode"
"2020-09-15T06:13:13","7.127.236.59","3885","PASV","-","-","227","Entering Passive Mode"
"2020-09-15T06:29:48","190.220.63.217","39226","PASV","-","-","227","Entering Passive Mode"
"2020-09-15T06:55:41","203.243.37.100","3885","PASV","-","-","227","Entering Passive Mode"
"2020-09-15T06:57:04","190.220.63.217","3966","PASV","-","-","227","Entering Passive Mode"
"2020-09-15T07:18:19","188.148.146.18","4295","STOR","-","-","550","/dept/env/lib/python2.7/site-packages/wtforms/ext/appengine/.ftpdA4LXaq: Operation not permitted"
"2020-09-15T07:49:48","105.206.94.23","4295","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/sqlalchemy/connectors/.ftpdA4LXaq: Operation not permitted"
"2020-09-15T08:01:16","37.91.136.95","4295","STOR","-","-","550","/dept/env/lib/python2.7/site-packages/jinja2/testsuite/res/.ftpdA4LXaq: Operation not permitted"
"2020-09-15T08:07:55","203.243.37.100","1100","STOR","-","-","550","/dept/env/lib/python2.7/site-packages/celery/tests/test_slow/.ftpdBUL2Da: Operation not permitted"
"2020-09-15T08:10:09","86.172.160.151","3885","PASV","-","-","227","Entering Passive Mode"
"2020-09-15T08:31:15","81.94.180.51","4295","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/celery/events/.ftpdA4LXaq: Operation not permitted"
"2020-09-15T08:43:11","244.149.90.13","3885","PASV","-","-","227","Entering Passive Mode"
"2020-09-15T09:50:56","86.82.198.124","3966","PASV","-","-","227","Entering Passive Mode"
"2020-09-15T09:51:06","147.126.156.230","4295","STOR","-","-","550","/dept/env/lib/python2.7/site-packages/celery/tests/test_events/.ftpdA4LXaq: Operation not permitted"
"2020-09-15T10:12:43","102.132.43.94","3885","STOR","-","-","550","/dept/qdept/static/.ftpdNzu8bx: Operation not permitted"
"2020-09-15T10:30:48","86.82.198.124","4976","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/wtforms/ext/dateutil/.ftpd3caYxQ: Operation not permitted"
"2020-09-15T10:59:12","68.92.208.49","4970","PASV","-","-","227","Entering Passive Mode"
"2020-09-15T11:07:09","140.143.94.151","1100","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/sqlalchemy/engine/.ftpdBUL2Da: Operation not permitted"
"2020-09-15T11:19:28","18.127.107.6","3966","STOR","-","-","550","/dept/env/lib/python2.7/site-packages/celery/execute/.ftpdxCfA4y: Operation not permitted"
"2020-09-15T11:38:03","7.127.236.59","4379","STOR","-","-","550","/dept/env/lib/python2.7/site-packages/sqlalchemy/dialects/informix/.ftpduBnga4: Operation not permitted"
"2020-09-15T12:10:27","188.148.146.18","4970","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/wtforms/ext/i18n/messages/en/LC_MESSAGES/.ftpde854Us: Operation not permitted"
"2020-09-15T12:29:38","17.63.199.54","3885","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/gunicorn/http/.ftpdNzu8bx: Operation not permitted"
"2020-09-15T12:40:47","138.61.14.205","4970","PASV","-","-","227","Entering Passive Mode"
"2020-09-15T12:57:25","110.218.211.136","4379","PASV","-","-","227","Entering Passive Mode"
"2020-09-15T13:22:05","7.127.236.59","1100","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/Flask_SQLAlchemy-0.15-py2.7.egg-info/.ftpdBUL2Da: Operation not permitted"
"2020-09-15T13:27:50","203.243.37.100","4379","STOR","-","-","550","/dept/qdept/.ftpduBnga4: Operation not permitted"
"2020-09-15T13:53:30","68.92.208.49","4970","PASV","-","-","227","Entering Passive Mode"
"2020-09-15T14:32:29","203.243.37.100","4976","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/flask/testsuite/test_apps/flaskext/oldext_package/.ftpd3caYxQ: Operation not permitted"
"2020-09-15T15:04:44","242.23.142.120","39218","PASV","-","-","227","Entering Passive Mode"
"2020-09-15T15:32:03","110.218.211.136","3966","STOR","-","-","550","/dept/env/lib/python2.7/site-packages/celery/loaders/.ftpdxCfA4y: Operation not permitted"
"2020-09-15T16:20:02","86.82.198.124","3885","PASV","-","-","227","Entering Passive Mode"
"2020-09-15T16:26:07","110.218.211.136","4295","STOR","-","-","550","/dept/env/lib/python2.7/site-packages/kombu/transport/django/management/commands/.ftpdA4LXaq: Operation not permitted"
"2020-09-15T16:39:20","156.147.173.87","3885","PASV","-","-","227","Entering Passive Mode"
"2020-09-15T16:41:04","167.107.132.164","4970","PASV","-","-","227","Entering Passive Mode"
"2020-09-15T16:59:43","10.138.129.55","3966","STOR","-","-","550","/dept/env/lib/python2.7/site-packages/celery/tests/functional/.ftpdxCfA4y: Operation not permitted"
"2020-09-15T17:35:06","222.17.93.246","4379","PASV","-","-","227","Entering Passive Mode"
"2020-09-15T17:54:34","244.149.90.13","1100","STOR","-","-","550","/dept/env/lib/python2.7/site-packages/flask/testsuite/test_apps/flask_broken/.ftpdBUL2Da: Operation not permitted"
"2020-09-15T18:46:29","203.243.37.100","3966","PASV","-","-","227","Entering Passive Mode"
"2020-09-15T19:17:29","110.218.211.136","4379","PASV","-","-","227","Entering Passive Mode"
"2020-09-15T19:30:51","98.177.12.123","3966","PASV","-","-","227","Entering Passive Mode"
"2020-09-15T19:46:29","105.206.94.23","4976","PASV","-","-","227","Entering Passive Mode"
"2020-09-15T20:02:55","17.63.199.54","3966","STOR","-","-","550","/dept/env/lib/python2.7/site-packages/flask/testsuite/test_apps/.ftpdxCfA4y: Operation not permitted"
"2020-09-15T20:16:51","244.149.90.13","4379","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/kombu/transport/sqlalchemy/.ftpduBnga4: Operation not permitted"
"2020-09-15T20:22:16","244.149.90.13","4295","PASV","-","-","227","Entering Passive Mode"
"2020-09-15T20:24:57","167.107.132.164","3966","PASV","-","-","227","Entering Passive Mode"
"2020-09-15T22:27:18","244.149.90.13","3966","PASV","-","-","227","Entering Passive Mode"
"2020-09-15T23:06:38","102.132.43.94","4295","STOR","-","-","550","/dept/env/lib/python2.7/site-packages/celery/loaders/.ftpdA4LXaq: Operation not permitted"
"2020-09-15T23:29:52","222.17.93.246","4379","PASV","-","-","227","Entering Passive Mode"
"2020-09-15T23:33:33","188.148.146.18","1100","PASV","-","-","227","Entering Passive Mode"
"2020-09-16T00:25:24","156.147.173.87","4976","STOR","-","-","550","/dept/env/lib/python2.7/site-packages/gunicorn/.ftpd3caYxQ: Operation not permitted"
"2020-09-16T01:12:00","68.92.208.49","3966","PASV","-","-","227","Entering Passive Mode"
"2020-09-16T02:06:22","111.16.226.93","1100","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/pip-1.1-py2.7.egg/pip/commands/.ftpdBUL2Da: Operation not permitted"
"2020-09-16T02:06:34","222.17.93.246","4970","STOR","-","-","550","/dept/env/lib/python2.7/site-packages/wtforms/ext/dateutil/.ftpde854Us: Operation not permitted"
"2020-09-16T02:30:51","159.133.249.32","1100","PASV","-","-","227","Entering Passive Mode"
"2020-09-16T02:39:50","147.126.156.230","3966","STOR","-","-","550","/dept/env/lib/python2.7/site-packages/celery/apps/.ftpdxCfA4y: Operation not permitted"
"2020-09-16T02:44:06","190.220.63.217","4379","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/kombu-2.1.1-py2.7.egg-info/.ftpduBnga4: Operation not permitted"
"2020-09-16T03:13:11","18.127.107.6","3966","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/celery/db/.ftpdxCfA4y: Operation not permitted"
"2020-09-16T03:29:42","26.20.3.26","39226","RETR","-","277","226","Transfer complete"
"2020-09-16T03:53:41","18.127.107.6","4970","DELE","-","-","550","/dept/qdept/static/css/.ftpde854Us: Operation not permitted"
"2020-09-16T03:59:38","102.132.43.94","4379","PASV","-","-","227","Entering Passive Mode"
"2020-09-16T04:10:06","110.218.211.136","1100","PASV","-","-","227","Entering Passive Mode"
"2020-09-16T04:51:52","140.143.94.151","1100","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/werkzeug/testsuite/res/.ftpdBUL2Da: Operation not permitted"
"2020-09-16T04:55:04","86.82.198.124","4295","PASV","-","-","227","Entering Passive Mode"
"2020-09-16T05:08:45","203.243.37.100","4295","PASV","-","-","227","Entering Passive Mode"
"2020-09-16T05:10:30","156.147.173.87","3966","PASV","-","-","227","Entering Passive Mode"
"2020-09-16T05:22:38","147.126.156.230","4295","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/flask/testsuite/test_apps/subdomaintestmodule/.ftpdA4LXaq: Operation not permitted"
"2020-09-16T05:30:29","190.220.63.217","3966","PASV","-","-","227","Entering Passive Mode"
"2020-09-16T05:32:28","248.124.131.190","4295","DELE","-","-","550","/dept/www/.ftpdA4LXaq: Operation not permitted"
"2020-09-16T05:55:33","190.220.63.217","3966","PASV","-","-","227","Entering Passive Mode"
"2020-09-16T06:13:09","222.17.93.246","4976","PASV","-","-","227","Entering Passive Mode"
"2020-09-16T06:14:23","18.127.107.6","4379","PASV","-","-","227","Entering Passive Mode"
"2020-09-16T06:41:05","167.107.132.164","1100","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/wtforms/fields/.ftpdBUL2Da: Operation not permitted"
"2020-09-16T07:10:32","80.144.65.20","55780","PORT","-","-","200","PORT command successful"
"2020-09-16T07:21:26","222.17.93.246","4976","PASV","-","-","227","Entering Passive Mode"
"2020-09-16T07:35:39","7.127.236.59","3885","PASV","-","-","227","Entering Passive Mode"
"2020-09-16T08:18:03","110.218.211.136","4295","STOR","-","-","550","/dept/env/lib/python2.7/site-packages/jinja2/testsuite/.ftpdA4LXaq: Operation not permitted"
"2020-09-16T08:57:12","17.63.199.54","3885","STOR","-","-","550","/dept/env/lib/python2.7/site-packages/sqlalchemy/dialects/postgresql/.ftpdNzu8bx: Operation not permitted"
"2020-09-16T10:11:06","17.63.199.54","4379","PASV","-","-","227","Entering Passive Mode"
"2020-09-16T10:34:20","147.126.156.230","39226","PASV","-","-","227","Entering Passive Mode"
"2020-09-16T10:39:10","156.147.173.87","4970","PASV","-","-","227","Entering Passive Mode"
"2020-09-16T10:43:10","147.126.156.230","3966","DELE","-","-","550","/dept/env/.ftpdxCfA4y: Operation not permitted"
"2020-09-16T10:53:25","248.124.131.190","3885","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/jinja2/_markupsafe/.ftpdNzu8bx: Operation not permitted"
"2020-09-16T11:03:46","86.82.198.124","4295","PASV","-","-","227","Entering Passive Mode"
"2020-09-16T11:06:35","10.138.129.55","1100","PASV","-","-","227","Entering Passive Mode"
"2020-09-16T11:07:55","226.164.121.85","4970","PASV","-","-","227","Entering Passive Mode"
"2020-09-16T11:20:12","86.82.198.124","1100","STOR","-","-","550","/dept/env/lib/python2.7/site-packages/flask/testsuite/test_apps/blueprintapp/apps/admin/static/css/.ftpdBUL2Da: Operation not permitted"
"2020-09-16T11:30:43","86.82.198.124","41550","PORT","-","-","200","PORT command successful"
"2020-09-16T11:43:13","64.124.18.109","4970","PASV","-","-","227","Entering Passive Mode"
"2020-09-16T11:49:52","222.17.93.246","3966","STOR","-","-","550","/dept/env/lib/python2.7/site-packages/flask/testsuite/test_apps/blueprintapp/apps/admin/.ftpdxCfA4y: Operation not permitted"
"2020-09-16T12:40:14","68.92.208.49","4295","PASV","-","-","227","Entering Passive Mode"
"2020-09-16T12:50:23","242.23.142.120","4970","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/wtforms/widgets/.ftpde854Us: Operation not permitted"
"2020-09-16T13:33:42","242.23.142.120","4379","PASV","-","-","227","Entering Passive Mode"
"2020-09-16T13:43:24","222.17.93.246","1100","PASV","-","-","227","Entering Passive Mode"
"2020-09-16T14:04:25","248.124.131.190","4295","STOR","-","-","550","/dept/qdept/static/css/blueprint/src/.ftpdA4LXaq: Operation not permitted"
"2020-09-16T14:29:12","110.218.211.136","1100","PASV","-","-","227","Entering Passive Mode"
"2020-09-16T14:58:16","244.149.90.13","4976","STOR","-","-","550","/dept/env/lib/python2.7/site-packages/kombu/transport/django/management/commands/.ftpd3caYxQ: Operation not permitted"
"2020-09-16T15:04:01","41.239.197.83","39226","PASV","-","-","227","Entering Passive Mode"
"2020-09-16T15:09:47","110.218.211.136","1100","PASV","-","-","227","Entering Passive Mode"
"2020-09-16T16:13:54","203.243.37.100","1100","STOR","-","-","550","/dept/env/lib/python2.7/site-packages/flask/testsuite/test_apps/blueprintapp/apps/frontend/.ftpdBUL2Da: Operation not permitted"
"2020-09-16T16:18:03","217.182.74.235","4976","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/celery/tests/functional/.ftpd3caYxQ: Operation not permitted"
"2020-09-16T16:50:49","68.92.208.49","3885","PASV","-","-","227","Entering Passive Mode"
"2020-09-16T17:01:05","147.126.156.230","1100","PASV","-","-","227","Entering Passive Mode"
"2020-09-16T18:17:21","18.127.107.6","1100","PASV","-","-","227","Entering Passive Mode"
"2020-09-16T18:19:32","110.218.211.136","3885","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/dateutil/.ftpdNzu8bx: Operation not permitted"
"2020-09-16T18:27:23","222.17.93.246","3966","DELE","-","-","550","/dept/qdept/static/css/blueprint/plugins/fancy-type/.ftpdxCfA4y: Operation not permitted"
"2020-09-16T18:53:20","97.196.157.225","4976","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/flask/testsuite/test_apps/blueprintapp/apps/admin/static/.ftpd3caYxQ: Operation not permitted"
"2020-09-16T18:57:36","147.126.156.230","4379","PASV","-","-","227","Entering Passive Mode"
"2020-09-16T19:44:46","222.17.93.246","4976","PASV","-","-","227","Entering Passive Mode"
"2020-09-16T20:21:06","68.92.208.49","1100","STOR","-","-","550","/dept/env/lib/python2.7/site-packages/flask/testsuite/test_apps/blueprintapp/apps/admin/.ftpdBUL2Da: Operation not permitted"
"2020-09-16T20:58:49","248.124.131.190","4379","PASV","-","-","227","Entering Passive Mode"
"2020-09-16T21:12:17","159.133.249.32","4976","PASV","-","-","227","Entering Passive Mode"
"2020-09-16T21:15:34","190.220.63.217","3885","PASV","-","-","227","Entering Passive Mode"
"2020-09-16T21:17:58","110.218.211.136","3885","STOR","-","-","550","/dept/www/.ftpdNzu8bx: Operation not permitted"
"2020-09-16T22:09:06","18.127.107.6","3885","STOR","-","-","550","/dept/qdept/.ftpdNzu8bx: Operation not permitted"
"2020-09-16T22:16:50","167.107.132.164","1100","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/Flask_XML_RPC-0.1.2-py2.7.egg-info/.ftpdBUL2Da: Operation not permitted"
"2020-09-16T22:18:45","147.126.156.230","4295","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/sqlalchemy/ext/.ftpdA4LXaq: Operation not permitted"
"2020-09-16T22:42:28","80.144.65.20","1100","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/flask/testsuite/test_apps/moduleapp/apps/admin/templates/.ftpdBUL2Da: Operation not permitted"
"2020-09-17T00:10:10","147.126.156.230","4976","PASV","-","-","227","Entering Passive Mode"
"2020-09-17T00:40:34","203.243.37.100","3885","PASV","-","-","227","Entering Passive Mode"
"2020-09-17T00:45:36","7.127.236.59","4295","PASV","-","-","227","Entering Passive Mode"
"2020-09-17T00:57:16","98.22.40.49","4379","PASV","-","-","227","Entering Passive Mode"
"2020-09-17T01:22:36","102.132.43.94","4976","PASV","-","-","227","Entering Passive Mode"
"2020-09-17T01:43:30","17.63.199.54","3885","STOR","-","-","550","/dept/env/lib/python2.7/site-packages/flask/testsuite/test_apps/blueprintapp/apps/admin/.ftpdNzu8bx: Operation not permitted"
"2020-09-17T01:48:06","147.126.156.230","39226","RETR","binary","6153","226","Transfer complete"
"2020-09-17T01:56:51","147.126.156.230","3885","DELE","-","-","550","/dept/www/.ftpdNzu8bx: Operation not permitted"
"2020-09-17T01:58:22","86.172.160.151","4970","PASV","-","-","227","Entering Passive Mode"
"2020-09-17T02:10:06","244.149.90.13","4970","PASV","-","-","227","Entering Passive Mode"
"2020-09-17T03:07:05","18.127.107.6","3885","STOR","-","-","550","/dept/qdept/static/css/blueprint/plugins/fancy-type/.ftpdNzu8bx: Operation not permitted"
"2020-09-17T04:16:58","68.92.208.49","4970","PASV","-","-","227","Entering Passive Mode"
"2020-09-17T04:28:34","222.17.93.246","4970","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/flask/testsuite/test_apps/blueprintapp/apps/.ftpde854Us: Operation not permitted"
"2020-09-17T04:59:17","18.202.74.102","4976","PASV","-","-","227","Entering Passive Mode"
"2020-09-17T06:18:59","147.126.156.230","3966","DELE","-","-","550","/dept/env/lib/python2.7/site-packages/amqplib/client_0_8/.ftpdxCfA4y: Operation not permitted"
"2020-09-17T06:30:01","68.92.208.49","38541","PASV","-","-","227","Entering Passive Mode"
"2020-09-17T06:36:33","190.220.63.217","4295","PASV","-","-","227","Entering Passive Mode"
